Subject,Experience_Sampling_Questions_Response_Time,GoNoGo_Task_Response_Time,Go_Task_Accuracy,NoGo_Task_Accuracy,Finger_Tapping_Task_Response_Time,Finger_Tapping_Task_Accuracy,Two-Back_Task-faces_Response_Time,Two-Back_Task-faces_Accuracy,Two-Back_Task-scenes_Response_Time,Two-Back_Task-scenes_Accuracy,One-Back_Task_Response_Time,One-Back_Task_Accuracy,Zero-Back_Task_Response_Time,Zero-Back_Task_Accuracy,Hard_Math_Task_Response_Time,Hard_Math_Task_Accuracy,Easy_Math_Task_Response_Time,Easy_Math_Task_Accuracy,Friend_Task_Response_Time,Friend_Task_Sentiment,You_Task_Response_Time,You_Task_Sentiment
subject_126,6.586096812,0.971207771,0.875,0.952830189,0.57881478,0.981818182,1.062209224,0.755102041,0.914434909,0.909090909,0.98999004,1,0.70505647,1,2.067585277,0.98245614,1.911281498,1,1.821303445,0.731707299,1.092951799,0.732394356
subject_129,1.985381771,0.986910186,0.882352941,0.287128713,1.201568138,0.85,1.017574668,0.678571429,1.032195034,0.477272727,4.29724601,0,4.70747916,0,2.28253628,0.888888889,1.884759556,1,3.204772669,0.772727238,5.520875414,0
subject_13,3.383438163,1.036549624,0.9375,0.88034188,0.378504965,1,0.945228149,0.914893617,1.31033035,0.608695652,1.160859671,0.857142857,0.635337764,1,2.105983704,0.980769231,1.90175492,1,0.935637435,0.591836723,0.900034383,0.636363627
subject_130,3.175725956,0.996143381,0.705882353,0.231404959,0.610723545,1,1.835809517,0.142857143,1.922053477,0.162790698,1.693984657,0.785714286,2.4408082,0.909090909,2.958846339,0.714285714,2.376774543,0.763157895,1.700871976,0.694444425,2.525055134,0.677419333
subject_131,3.488459342,0.998248624,0.75,0.915966387,0.443072614,1,0.995911652,0.76,0.770825502,0.754098361,1.53163283,0.6,1.39909333,1,2.251175787,0.830188679,1.934172805,0.984375,1.30622409,0.642857128,1.115270097,0.711864395
subject_132,4.248856329,1.022305915,0.714285714,0.625,0.432113227,1,1.111743398,0.804347826,0.993375148,0.884615385,2.009235764,0.909090909,2.96945601,0.7,2.661741548,0.704545455,2.096846041,0.98245614,1.476402475,0.88571426,1.897310398,0.566037725
subject_133,4.241773102,1.016922018,0.866666667,0.699029126,0.332782256,1,1.101639361,0.816326531,0.942897445,0.818181818,1.22978986,1,0.62834377,1,2.139856589,0.925925926,1.867996313,1,1.675753952,0.866666647,1.423889663,0.596774184
subject_134,2.509576885,1.028942968,0.571428571,0.811111111,0.699207006,0.969230769,1.369226161,0.347826087,1.066178217,0.673913043,1.199797788,1,1.499589318,0.909090909,2.63237491,0.719298246,2.236981881,0.847826087,1.716698827,0.604651149,1.50460822,0.792452815
subject_135,4.979482944,1.029462382,0.692307692,1,0.391263587,1,1.07913344,0.9,1.031804309,0.829787234,1.151385267,1,0.707975878,1,2.108848335,0.894736842,1.966711784,0.927272727,0.796068159,0.869565198,0.870671326,0.680555546
subject_136,3.591679905,1.014403754,0.642857143,0.8,0.319221207,1,1.402954219,0.666666667,0.870177363,0.901960784,1.290855654,1,1.643241789,1,2.478250141,0.869565217,1.969540176,1,1.002384849,0.906976723,1.430690162,0.749999984
