Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
Movie_Task-bridge,subject_4,7,9.499999999999998,9.299999999999986,9.999999999999993,4.700000000000001,10.0,9.299999999999999,8.699999999999994,2.0,4.400000000000002,9.099999999999996,7.0,7.299999999999992,7.0,9.299999999999988,10.0,8.399999999999995,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
Movie_Task-bridge,subject_4,7,9.499999999999998,9.299999999999986,9.999999999999993,4.700000000000001,10.0,9.299999999999999,8.699999999999994,2.0,4.400000000000002,9.099999999999996,7.0,7.299999999999992,7.0,9.299999999999988,10.0,8.399999999999995,0.038746425,0.099305514,-0.366494178,0.006527394,0.223090865
Zero-Back_Task,subject_4,6,1.200000000000001,1.0,1.3999999999999986,1.3000000000000083,7.0,9.699999999999994,1.0,1.0,3.2000000000000055,1.0,9.799999999999986,1.0,1.0,5.100000000000017,2.2999999999999994,1.0,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
Zero-Back_Task,subject_4,12,4.0,7.0,7.0,7.0,2.0,3.0,10.0,8.0,7.0,4.0,6.0,3.0,10.0,6.0,2.0,3.0,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
Zero-Back_Task,subject_4,8,9.0,7.0,8.0,9.0,6.0,10.0,4.0,9.0,9.0,2.0,2.0,4.0,3.0,6.0,2.0,6.0,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
One-Back_Task,subject_4,8,3.0,7.0,7.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,7.0,5.0,6.0,4.0,7.0,3.0,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
One-Back_Task,subject_4,-14,2.0,7.0,9.0,6.0,9.0,6.0,2.0,4.0,6.0,10.0,4.0,4.0,6.0,3.0,7.0,9.0,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
One-Back_Task,subject_4,-7,6.0,10.0,3.0,8.0,2.0,10.0,5.0,1.0,9.0,9.0,9.799999999999997,3.0,2.0,3.0,1.0,2.0,-0.054175274,0.109761933,0.352458414,-0.112942158,-0.025580638
Easy_Math_Task,subject_4,-10,5.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,10.0,10.0,3.0,2.0,10.0,7.0,6.0,2.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Easy_Math_Task,subject_4,15,3.0,8.0,2.0,8.0,8.0,9.0,8.0,9.0,3.0,10.0,4.0,10.0,5.0,10.0,7.0,6.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
